OBS,DX_CD,DX_DSC
2587,F11988,"Opioid use, unspecified with other opioid-induced disorder"
2588,F1199,"Opioid use, unspecified with unspecified opioid-induced disorder"
2589,F12120,"Cannabis abuse with intoxication, uncomplicated"
2590,F12121,Cannabis abuse with intoxication delirium
2591,F12122,Cannabis abuse with intoxication with perceptual disturbance
2592,F12129,"Cannabis abuse with intoxication, unspecified"
2593,F1213,Cannabis abuse with withdrawal
2594,F12150,Cannabis abuse with psychotic disorder with delusions
2595,F12151,Cannabis abuse with psychotic disorder with hallucinations
2596,F12159,"Cannabis abuse with psychotic disorder, unspecified"
2597,F12180,Cannabis abuse with cannabis-induced anxiety disorder
2598,F12188,Cannabis abuse with other cannabis-induced disorder
2599,F1219,Cannabis abuse with unspecified cannabis-induced disorder
2600,F1220,"Cannabis dependence, uncomplicated"
2601,F1221,"Cannabis dependence, in remission"
2602,F12220,"Cannabis dependence with intoxication, uncomplicated"
2603,F12221,Cannabis dependence with intoxication delirium
2604,F12222,Cannabis dependence with intoxication with perceptual disturbance
2605,F12229,"Cannabis dependence with intoxication, unspecified"
2606,F1223,Cannabis dependence with withdrawal
2607,F12250,Cannabis dependence with psychotic disorder with delusions
2608,F12251,Cannabis dependence with psychotic disorder with hallucinations
2609,F12259,"Cannabis dependence with psychotic disorder, unspecified"
2610,F12280,Cannabis dependence with cannabis-induced anxiety disorder
2611,F12288,Cannabis dependence with other cannabis-induced disorder
2612,F1229,Cannabis dependence with unspecified cannabis-induced disorder
2613,F12920,"Cannabis use, unspecified with intoxication, uncomplicated"
2614,F12921,"Cannabis use, unspecified with intoxication delirium"
2615,F12922,"Cannabis use, unspecified with intoxication with perceptual disturbance"
2616,F12929,"Cannabis use, unspecified with intoxication, unspecified"
2617,F1293,"Cannabis use, unspecified with withdrawal"
2618,F12950,"Cannabis use, unspecified with psychotic disorder with delusions"
2619,F12951,"Cannabis use, unspecified with psychotic disorder with hallucinations"
2620,F12959,"Cannabis use, unspecified with psychotic disorder, unspecified"
2621,F12980,"Cannabis use, unspecified with anxiety disorder"
2622,F12988,"Cannabis use, unspecified with other cannabis-induced disorder"
2623,F1299,"Cannabis use, unspecified with unspecified cannabis-induced disorder"
2624,F13120,"Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated"
2625,F13121,"Sedative, hypnotic or anxiolytic abuse with intoxication delirium"
2626,F13129,"Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified"
2627,F13130,"Sedative, hypnotic or anxiolytic abuse with withdrawal, uncomplicated"
2628,F13131,"Sedative, hypnotic or anxiolytic abuse with withdrawal delirium"
2629,F13132,"Sedative, hypnotic or anxiolytic abuse with withdrawal with perceptual disturbance"
2630,F13139,"Sedative, hypnotic or anxiolytic abuse with withdrawal, unspecified"
2631,F1314,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
2632,F13150,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
2633,F13151,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
2634,F13159,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
2635,F13180,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
2636,F13181,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
2637,F13182,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder"
2638,F13188,"Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder"
2639,F1319,"Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder"
2640,F1320,"Sedative, hypnotic or anxiolytic dependence, uncomplicated"
2641,F1321,"Sedative, hypnotic or anxiolytic dependence, in remission"
2642,F13220,"Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated"
2643,F13221,"Sedative, hypnotic or anxiolytic dependence with intoxication delirium"
2644,F13229,"Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified"
2645,F13230,"Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated"
2646,F13231,"Sedative, hypnotic or anxiolytic dependence with withdrawal delirium"
2647,F13232,"Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance"
2648,F13239,"Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified"
2649,F1324,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
2650,F13250,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
2651,F13251,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
2652,F13259,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
2653,F1326,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
2654,F1327,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia"
2655,F13280,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
2656,F13281,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
2657,F13282,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder"
2658,F13288,"Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder"
2659,F1329,"Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
2660,F13920,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated"
2661,F13921,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium"
2662,F13929,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified"
2663,F13930,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated"
2664,F13931,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium"
2665,F13932,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances"
2666,F13939,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified"
2667,F1394,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder"
2668,F13950,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
2669,F13951,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
2670,F13959,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
2671,F1396,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
2672,F1397,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia"
2673,F13980,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder"
2674,F13981,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
2675,F13982,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sleep disorder"
2676,F13988,"Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder"
2677,F1399,"Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder"
2678,F14120,"Cocaine abuse with intoxication, uncomplicated"
2679,F14121,Cocaine abuse with intoxication with delirium
2680,F14122,Cocaine abuse with intoxication with perceptual disturbance
2681,F14129,"Cocaine abuse with intoxication, unspecified"
2682,F1413,"Cocaine abuse, unspecified with withdrawal"
2683,F1414,Cocaine abuse with cocaine-induced mood disorder
2684,F14150,Cocaine abuse with cocaine-induced psychotic disorder with delusions
2685,F14151,Cocaine abuse with cocaine-induced psychotic disorder with hallucinations
2686,F14159,"Cocaine abuse with cocaine-induced psychotic disorder, unspecified"
2687,F14180,Cocaine abuse with cocaine-induced anxiety disorder
2688,F14181,Cocaine abuse with cocaine-induced sexual dysfunction
2689,F14182,Cocaine abuse with cocaine-induced sleep disorder
2690,F14188,Cocaine abuse with other cocaine-induced disorder
2691,F1419,Cocaine abuse with unspecified cocaine-induced disorder
2692,F1420,"Cocaine dependence, uncomplicated"
2693,F1421,"Cocaine dependence, in remission"
2694,F14220,"Cocaine dependence with intoxication, uncomplicated"
2695,F14221,Cocaine dependence with intoxication delirium
2696,F14222,Cocaine dependence with intoxication with perceptual disturbance
2697,F14229,"Cocaine dependence with intoxication, unspecified"
2698,F1423,Cocaine dependence with withdrawal
2699,F1424,Cocaine dependence with cocaine-induced mood disorder
2700,F14250,Cocaine dependence with cocaine-induced psychotic disorder with delusions
2701,F14251,Cocaine dependence with cocaine-induced psychotic disorder with hallucinations
2702,F14259,"Cocaine dependence with cocaine-induced psychotic disorder, unspecified"
2703,F14280,Cocaine dependence with cocaine-induced anxiety disorder
2704,F14281,Cocaine dependence with cocaine-induced sexual dysfunction
2705,F14282,Cocaine dependence with cocaine-induced sleep disorder
2706,F14288,Cocaine dependence with other cocaine-induced disorder
2707,F1429,Cocaine dependence with unspecified cocaine-induced disorder
2708,F14920,"Cocaine use, unspecified with intoxication, uncomplicated"
2709,F14921,"Cocaine use, unspecified with intoxication delirium"
2710,F14922,"Cocaine use, unspecified with intoxication with perceptual disturbance"
2711,F14929,"Cocaine use, unspecified with intoxication, unspecified"
2712,F1493,"Cocaine use, unspecified with withdrawal"
2713,F1494,"Cocaine use, unspecified with cocaine-induced mood disorder"
2714,F14950,"Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions"
2715,F14951,"Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations"
2716,F14959,"Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified"
2717,F14980,"Cocaine use, unspecified with cocaine-induced anxiety disorder"
2718,F14981,"Cocaine use, unspecified with cocaine-induced sexual dysfunction"
2719,F14982,"Cocaine use, unspecified with cocaine-induced sleep disorder"
2720,F14988,"Cocaine use, unspecified with other cocaine-induced disorder"
2721,F1499,"Cocaine use, unspecified with unspecified cocaine-induced disorder"
2722,F15120,"Other stimulant abuse with intoxication, uncomplicated"
2723,F15121,Other stimulant abuse with intoxication delirium
2724,F15122,Other stimulant abuse with intoxication with perceptual disturbance
2725,F15129,"Other stimulant abuse with intoxication, unspecified"
2726,F1513,Other stimulant abuse with withdrawal
2727,F1514,Other stimulant abuse with stimulant-induced mood disorder
2728,F15150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions
2729,F15151,Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations
2730,F15159,"Other stimulant abuse with stimulant-induced psychotic disorder, unspecified"
2731,F15180,Other stimulant abuse with stimulant-induced anxiety disorder
2732,F15181,Other stimulant abuse with stimulant-induced sexual dysfunction
2733,F15182,Other stimulant abuse with stimulant-induced sleep disorder
2734,F15188,Other stimulant abuse with other stimulant-induced disorder
2735,F1519,Other stimulant abuse with unspecified stimulant-induced disorder
2736,F1520,"Other stimulant dependence, uncomplicated"
2737,F1521,"Other stimulant dependence, in remission"
2738,F15220,"Other stimulant dependence with intoxication, uncomplicated"
2739,F15221,Other stimulant dependence with intoxication delirium
2740,F15222,Other stimulant dependence with intoxication with perceptual disturbance
2741,F15229,"Other stimulant dependence with intoxication, unspecified"
2742,F1523,Other stimulant dependence with withdrawal
2743,F1524,Other stimulant dependence with stimulant-induced mood disorder
2744,F15250,Other stimulant dependence with stimulant-induced psychotic disorder with delusions
2745,F15251,Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations
2746,F15259,"Other stimulant dependence with stimulant-induced psychotic disorder, unspecified"
2747,F15280,Other stimulant dependence with stimulant-induced anxiety disorder
2748,F15281,Other stimulant dependence with stimulant-induced sexual dysfunction
2749,F15282,Other stimulant dependence with stimulant-induced sleep disorder
2750,F15288,Other stimulant dependence with other stimulant-induced disorder
2751,F1529,Other stimulant dependence with unspecified stimulant-induced disorder
2752,F15920,"Other stimulant use, unspecified with intoxication, uncomplicated"
2753,F15921,"Other stimulant use, unspecified with intoxication delirium"
2754,F15922,"Other stimulant use, unspecified with intoxication with perceptual disturbance"
2755,F15929,"Other stimulant use, unspecified with intoxication, unspecified"
2756,F1593,"Other stimulant use, unspecified with withdrawal"
2757,F1594,"Other stimulant use, unspecified with stimulant-induced mood disorder"
2758,F15950,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions"
2759,F15951,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations"
2760,F15959,"Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified"
2761,F15980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder"
2762,F15981,"Other stimulant use, unspecified with stimulant-induced sexual dysfunction"
2763,F15982,"Other stimulant use, unspecified with stimulant-induced sleep disorder"
2764,F15988,"Other stimulant use, unspecified with other stimulant-induced disorder"
2765,F1599,"Other stimulant use, unspecified with unspecified stimulant-induced disorder"
2766,F16120,"Hallucinogen abuse with intoxication, uncomplicated"
2767,F16121,Hallucinogen abuse with intoxication with delirium
2768,F16122,Hallucinogen abuse with intoxication with perceptual disturbance
2769,F16129,"Hallucinogen abuse with intoxication, unspecified"
2770,F1614,Hallucinogen abuse with hallucinogen-induced mood disorder
2771,F16150,Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions
2772,F16151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
2773,F16159,"Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified"
2774,F16180,Hallucinogen abuse with hallucinogen-induced anxiety disorder
2775,F16183,Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)
2776,F16188,Hallucinogen abuse with other hallucinogen-induced disorder
2777,F1619,Hallucinogen abuse with unspecified hallucinogen-induced disorder
2778,F1620,"Hallucinogen dependence, uncomplicated"
2779,F1621,"Hallucinogen dependence, in remission"
2780,F16220,"Hallucinogen dependence with intoxication, uncomplicated"
2781,F16221,Hallucinogen dependence with intoxication with delirium
2782,F16229,"Hallucinogen dependence with intoxication, unspecified"
2783,F1624,Hallucinogen dependence with hallucinogen-induced mood disorder
2784,F16250,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions
2785,F16251,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations
2786,F16259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified"
2787,F16280,Hallucinogen dependence with hallucinogen-induced anxiety disorder
2788,F16283,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)
2789,F16288,Hallucinogen dependence with other hallucinogen-induced disorder
2790,F1629,Hallucinogen dependence with unspecified hallucinogen-induced disorder
2791,F16920,"Hallucinogen use, unspecified with intoxication, uncomplicated"
2792,F16921,"Hallucinogen use, unspecified with intoxication with delirium"
2793,F16929,"Hallucinogen use, unspecified with intoxication, unspecified"
2794,F1694,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
2795,F16950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions"
2796,F16951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations"
2797,F16959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified"
2798,F16980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
2799,F16983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)"
2800,F16988,"Hallucinogen use, unspecified with other hallucinogen-induced disorder"
2801,F1699,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
2802,F18120,"Inhalant abuse with intoxication, uncomplicated"
2803,F18121,Inhalant abuse with intoxication delirium
2804,F18129,"Inhalant abuse with intoxication, unspecified"
2805,F1814,Inhalant abuse with inhalant-induced mood disorder
2806,F18150,Inhalant abuse with inhalant-induced psychotic disorder with delusions
2807,F18151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations
2808,F18159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified"
2809,F1817,Inhalant abuse with inhalant-induced dementia
2810,F18180,Inhalant abuse with inhalant-induced anxiety disorder
2811,F18188,Inhalant abuse with other inhalant-induced disorder
2812,F1819,Inhalant abuse with unspecified inhalant-induced disorder
2813,F1820,"Inhalant dependence, uncomplicated"
2814,F1821,"Inhalant dependence, in remission"
2815,F18220,"Inhalant dependence with intoxication, uncomplicated"
2816,F18221,Inhalant dependence with intoxication delirium
2817,F18229,"Inhalant dependence with intoxication, unspecified"
2818,F1824,Inhalant dependence with inhalant-induced mood disorder
2819,F18250,Inhalant dependence with inhalant-induced psychotic disorder with delusions
2820,F18251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations
2821,F18259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified"
2822,F1827,Inhalant dependence with inhalant-induced dementia
2823,F18280,Inhalant dependence with inhalant-induced anxiety disorder
2824,F18288,Inhalant dependence with other inhalant-induced disorder
2825,F1829,Inhalant dependence with unspecified inhalant-induced disorder
2826,F18920,"Inhalant use, unspecified with intoxication, uncomplicated"
2827,F18921,"Inhalant use, unspecified with intoxication with delirium"
2828,F18929,"Inhalant use, unspecified with intoxication, unspecified"
2829,F1894,"Inhalant use, unspecified with inhalant-induced mood disorder"
2830,F18950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions"
2831,F18951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations"
2832,F18959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified"
2833,F1897,"Inhalant use, unspecified with inhalant-induced persisting dementia"
2834,F18980,"Inhalant use, unspecified with inhalant-induced anxiety disorder"
2835,F18988,"Inhalant use, unspecified with other inhalant-induced disorder"
2836,F1899,"Inhalant use, unspecified with unspecified inhalant-induced disorder"
2837,F19120,"Other psychoactive substance abuse with intoxication, uncomplicated"
2838,F19121,Other psychoactive substance abuse with intoxication delirium
2839,F19122,Other psychoactive substance abuse with intoxication with perceptual disturbances
2840,F19129,"Other psychoactive substance abuse with intoxication, unspecified"
2841,F19130,"Other psychoactive substance abuse with withdrawal, uncomplicated"
2842,F19131,Other psychoactive substance abuse with withdrawal delirium
2843,F19132,Other psychoactive substance abuse with withdrawal with perceptual disturbance
2844,F19139,"Other psychoactive substance abuse with withdrawal, unspecified"
2845,F1914,Other psychoactive substance abuse with psychoactive substance-induced mood disorder
2846,F19150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions
2847,F19151,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations
2848,F19159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified"
2849,F1916,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder
2850,F1917,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia
2851,F19180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder
2852,F19181,Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction
2853,F19182,Other psychoactive substance abuse with psychoactive substance-induced sleep disorder
2854,F19188,Other psychoactive substance abuse with other psychoactive substance-induced disorder
2855,F1919,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder
2856,F1920,"Other psychoactive substance dependence, uncomplicated"
2857,F1921,"Other psychoactive substance dependence, in remission"
2858,F19220,"Other psychoactive substance dependence with intoxication, uncomplicated"
2859,F19221,Other psychoactive substance dependence with intoxication delirium
2860,F19222,Other psychoactive substance dependence with intoxication with perceptual disturbance
2861,F19229,"Other psychoactive substance dependence with intoxication, unspecified"
2862,F19230,"Other psychoactive substance dependence with withdrawal, uncomplicated"
2863,F19231,Other psychoactive substance dependence with withdrawal delirium
2864,F19232,Other psychoactive substance dependence with withdrawal with perceptual disturbance
2865,F19239,"Other psychoactive substance dependence with withdrawal, unspecified"
2866,F1924,Other psychoactive substance dependence with psychoactive substance-induced mood disorder
2867,F19250,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions
2868,F19251,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations
2869,F19259,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified"
2870,F1926,Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder
2871,F1927,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia
2872,F19280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder
2873,F19281,Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction
2874,F19282,Other psychoactive substance dependence with psychoactive substance-induced sleep disorder
2875,F19288,Other psychoactive substance dependence with other psychoactive substance-induced disorder
2876,F1929,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder
2877,F19920,"Other psychoactive substance use, unspecified with intoxication, uncomplicated"
2878,F19921,"Other psychoactive substance use, unspecified with intoxication with delirium"
2879,F19922,"Other psychoactive substance use, unspecified with intoxication with perceptual disturbance"
2880,F19929,"Other psychoactive substance use, unspecified with intoxication, unspecified"
2881,F19930,"Other psychoactive substance use, unspecified with withdrawal, uncomplicated"
2882,F19931,"Other psychoactive substance use, unspecified with withdrawal delirium"
2883,F19932,"Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance"
2884,F19939,"Other psychoactive substance use, unspecified with withdrawal, unspecified"
2885,F1994,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
2886,F19950,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions"
2887,F19951,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations"
2888,F19959,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified"
2889,F1996,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder"
2890,F1997,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia"
2891,F19980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
2892,F19981,"Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction"
2893,F19982,"Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder"
2894,F19988,"Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder"
2895,F1999,"Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
2896,F200,Paranoid schizophrenia
2897,F201,Disorganized schizophrenia
2898,F202,Catatonic schizophrenia
2899,F203,Undifferentiated schizophrenia
2900,F205,Residual schizophrenia
2901,F2081,Schizophreniform disorder
2902,F2089,Other schizophrenia
2903,F209,"Schizophrenia, unspecified"
2904,F21,Schizotypal disorder
2905,F22,Delusional disorders
2906,F23,Brief psychotic disorder
2907,F24,Shared psychotic disorder
2908,F250,"Schizoaffective disorder, bipolar type"
2909,F251,"Schizoaffective disorder, depressive type"
2910,F258,Other schizoaffective disorders
2911,F259,"Schizoaffective disorder, unspecified"
2912,F28,Other psychotic disorder not due to a substance or known physiological condition
2913,F29,Unspecified psychosis not due to a substance or known physiological condition
2914,F3010,"Manic episode without psychotic symptoms, unspecified"
2915,F3011,"Manic episode without psychotic symptoms, mild"
2916,F3012,"Manic episode without psychotic symptoms, moderate"
2917,F3013,"Manic episode, severe, without psychotic symptoms"
2918,F302,"Manic episode, severe with psychotic symptoms"
2919,F303,Manic episode in partial remission
2920,F304,Manic episode in full remission
2921,F308,Other manic episodes
2922,F309,"Manic episode, unspecified"
2923,F310,"Bipolar disorder, current episode hypomanic"
2924,F3110,"Bipolar disorder, current episode manic without psychotic features, unspecified"
2925,F3111,"Bipolar disorder, current episode manic without psychotic features, mild"
2926,F3112,"Bipolar disorder, current episode manic without psychotic features, moderate"
2927,F3113,"Bipolar disorder, current episode manic without psychotic features, severe"
2928,F312,"Bipolar disorder, current episode manic severe with psychotic features"
2929,F3130,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
2930,F3131,"Bipolar disorder, current episode depressed, mild"
2931,F3132,"Bipolar disorder, current episode depressed, moderate"
2932,F314,"Bipolar disorder, current episode depressed, severe, without psychotic features"
2933,F315,"Bipolar disorder, current episode depressed, severe, with psychotic features"
2934,F3160,"Bipolar disorder, current episode mixed, unspecified"
2935,F3161,"Bipolar disorder, current episode mixed, mild"
2936,F3162,"Bipolar disorder, current episode mixed, moderate"
2937,F3163,"Bipolar disorder, current episode mixed, severe, without psychotic features"
2938,F3164,"Bipolar disorder, current episode mixed, severe, with psychotic features"
2939,F3170,"Bipolar disorder, currently in remission, most recent episode unspecified"
2940,F3171,"Bipolar disorder, in partial remission, most recent episode hypomanic"
2941,F3172,"Bipolar disorder, in full remission, most recent episode hypomanic"
2942,F3173,"Bipolar disorder, in partial remission, most recent episode manic"
2943,F3174,"Bipolar disorder, in full remission, most recent episode manic"
2944,F3175,"Bipolar disorder, in partial remission, most recent episode depressed"
2945,F3176,"Bipolar disorder, in full remission, most recent episode depressed"
2946,F3177,"Bipolar disorder, in partial remission, most recent episode mixed"
2947,F3178,"Bipolar disorder, in full remission, most recent episode mixed"
2948,F3181,Bipolar II disorder
2949,F3189,Other bipolar disorder
2950,F319,"Bipolar disorder, unspecified"
2951,F322,"Major depressive disorder, single episode, severe without psychotic features"
2952,F323,"Major depressive disorder, single episode, severe with psychotic features"
2953,F332,"Major depressive disorder, recurrent severe without psychotic features"
2954,F333,"Major depressive disorder, recurrent, severe with psychotic symptoms"
2955,F3481,Disruptive mood dysregulation disorder
2956,F440,Dissociative amnesia
2957,F441,Dissociative fugue
2958,F4481,Dissociative identity disorder
2959,F481,Depersonalization-derealization syndrome
2960,F5000,"Anorexia nervosa, unspecified"
2961,F50010,"Anorexia nervosa, restricting type, mild"
2962,F50011,"Anorexia nervosa, restricting type, moderate"
2963,F50012,"Anorexia nervosa, restricting type, severe"
2964,F50013,"Anorexia nervosa, restricting type, extreme"
2965,F50014,"Anorexia nervosa, restricting type, in remission"
2966,F50019,"Anorexia nervosa, restricting type, unspecified"
2967,F50020,"Anorexia nervosa, binge eating/purging type, mild"
2968,F50021,"Anorexia nervosa, binge eating/purging type, moderate"
2969,F50022,"Anorexia nervosa, binge eating/purging type, severe"
2970,F50023,"Anorexia nervosa, binge eating/purging type, extreme"
2971,F50024,"Anorexia nervosa, binge eating/purging type, in remission"
2972,F50029,"Anorexia nervosa, binge eating/purging type, unspecified"
2973,F5020,"Bulimia nervosa, unspecified"
2974,F5021,"Bulimia nervosa, mild"
2975,F5022,"Bulimia nervosa, moderate"
2976,F5023,"Bulimia nervosa, severe"
2977,F5024,"Bulimia nervosa, extreme"
2978,F5025,"Bulimia nervosa, in remission"
2979,F531,Puerperal psychosis
2980,F600,Paranoid personality disorder
2981,F601,Schizoid personality disorder
2982,F602,Antisocial personality disorder
2983,F603,Borderline personality disorder
2984,F604,Histrionic personality disorder
2985,F605,Obsessive-compulsive personality disorder
2986,F606,Avoidant personality disorder
2987,F607,Dependent personality disorder
2988,F6081,Narcissistic personality disorder
2989,F6089,Other specific personality disorders
2990,F609,"Personality disorder, unspecified"
2991,F840,Autistic disorder
2992,F842,Rett's syndrome
2993,F843,Other childhood disintegrative disorder
2994,F845,Asperger's syndrome
2995,F848,Other pervasive developmental disorders
2996,F849,"Pervasive developmental disorder, unspecified"
2997,G000,Hemophilus meningitis
2998,G001,Pneumococcal meningitis
2999,G002,Streptococcal meningitis
3000,G003,Staphylococcal meningitis
3001,G008,Other bacterial meningitis
3002,G009,"Bacterial meningitis, unspecified"
3003,G01,Meningitis in bacterial diseases classified elsewhere
3004,G02,Meningitis in other infectious and parasitic diseases classified elsewhere
